genus,age,latitude
astarte,Pliocene,27.366642
parvilucina,Pliocene,27.361199
parvilucina,Pliocene,27.361199
mulinia,Pliocene,27.361199
crepidula,Pliocene,26.1681
mulinia,Pliocene,26.1681
mulinia,Pliocene,26.1681
mulinia,Pliocene,26.1681
mulinia,Pliocene,26.1681
crepidula,Pliocene,26.1681
crepidula,Pliocene,26.1681
chama,Pliocene,26.1681
parvilucina,Pliocene,26.1681
mulinia,Pliocene,26.1681
mulinia,Pliocene,26.1681
crepidula,Pliocene,26.1681
mulinia,Pliocene,26.1681
mulinia,Pliocene,26.1681
parvilucina,Pliocene,26.1681
parvilucina,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
parvilucina,Pliocene,27.366642
mulinia,Pliocene,27.366642
crepidula,Pliocene,26.878706
crepidula,Pliocene,26.878706
mulinia,Pliocene,26.878706
mulinia,Pliocene,26.878706
chesapecten,Pliocene,27.361199
crepidula,Pliocene,27.270925
mulinia,Pliocene,27.270925
mulinia,Pliocene,27.270925
mulinia,Pliocene,27.270925
parvilucina,Pliocene,27.270925
chama,Pliocene,27.270925
crepidula,Pliocene,27.270925
crepidula,Pliocene,27.270925
parvilucina,Pliocene,27.270925
crepidula,Pliocene,27.270925
crepidula,Pliocene,27.270925
crepidula,Pliocene,27.270925
crepidula,Pliocene,27.270925
parvilucina,Pliocene,27.270925
mulinia,Pliocene,27.366642
parvilucina,Pliocene,27.366642
crepidula,Pliocene,27.366642
parvilucina,Pliocene,27.366642
mulinia,Pliocene,27.366642
parvilucina,Pliocene,27.366642
parvilucina,Pliocene,27.361199
parvilucina,Pliocene,27.361199
mulinia,Pliocene,27.366642
parvilucina,Pliocene,27.366642
mulinia,Pliocene,27.366642
chesapecten,Pliocene,27.361199
crepidula,Pliocene,27.270925
chama,Pliocene,27.366642
mulinia,Pliocene,27.361199
mulinia,Pliocene,27.366642
crepidula,Pliocene,27.4
noetia,Pliocene,27.4
astarte,Pliocene,30.386591
cyclocardia,Pliocene,30.386591
crepidula,Pliocene,27.361199
mulinia,Pliocene,27.361199
parvilucina,Pliocene,27.361199
astarte,Pliocene,27.361199
mulinia,Pliocene,27.361199
chama,Pliocene,27.361199
astarte,Pliocene,27.361199
mulinia,Pliocene,27.361199
crepidula,Pliocene,27.361199
cyclocardia,Pliocene,27.361199
chama,Pliocene,27.361199
chama,Pliocene,27.361199
chama,Pliocene,27.361199
crepidula,Pliocene,27.361199
crepidula,Pliocene,27.361199
noetia,Pliocene,27.361199
parvilucina,Pliocene,27.361199
noetia,Pliocene,27.361199
parvilucina,Pliocene,27.361199
crepidula,Pliocene,35.344367
crepidula,Pliocene,35.344367
chesapecten,Pliocene,35.344367
chesapecten,Pliocene,35.344367
chesapecten,Pliocene,35.344367
noetia,Pliocene,35.344367
astarte,Pliocene,35.344367
cyclocardia,Pliocene,35.344367
modiolus,Pliocene,35.344367
cyclocardia,Pliocene,35.344367
chama,Pliocene,27.361199
mulinia,Pliocene,27.361199
chama,Pliocene,27.361199
chama,Pliocene,27.361199
crepidula,Pliocene,27.361199
crepidula,Pliocene,27.361199
chama,Pliocene,27.361199
parvilucina,Pliocene,27.361199
